idx,title,content,date,body_url
121,A New Era Dawns: Nike Football Outfits Tottenham Hotspur For 2017-18,"June 30, 2017 – The 2017-18 Tottenham Hotspur Home Kit, Away Kit and full Nike Tottenham Hotspur collection are now available on nike.com/tottenhamhotspur. ","June 30, 2017",/news/tottenham-hotspur-2017-18
122,Paris Saint Germain Away Kit 2017-2018,"June 29, 2017 – The Paris Saint Germain Away kit will be available starting July 1 at nike.com, official stores and retailers.","June 29, 2017",/news/paris-saint-germain-away-kit-2017-2018
123,FC Internazionale Milano Away Kit 2017-18,"June 28, 2017 – The FC Internazionale Milano kit will be available July 1 at Nike.com, store.inter.it and official retailers.","June 28, 2017",/news/fc-internationale-away-kit-2017-18
124,"50 Years On, Nike Reinvents a Classic For Manchester City’s 2017-18 Home Kit","May 31, 2017 – Manchester City Women's Football Club will debut the new home kit against Sunderland on May 31. The 2017-18 Manchester City Home Kit is now available from nike.com.","May 31, 2017",/news/manchester-city-2017-18-home-kit
125,Paris Saint-Germain Home Kit 2017-18,"May 24, 2017 – The new PSG home kit for 2017-2018 allies cutting-edge Aeroswift technology with a contemporary aesthetic, reinterpreting the club’s heritage alongside a fresh application of its signature red, white and blue palette. 
","May 24, 2017",/news/paris-saint-germain-home-kit-2017-18
126,Nike Air VaporMax Reveals the Pinnacle of Air,"February 20, 2017 – The Nike Air VaporMax pays off the full promise of Air — to provide lightweight, consistent cushioning that lasts.","February 20, 2017",/news/air-max-vapor
127,Vince Staples on LA Culture and the Enduring Appeal of the Chuck Taylor,"February 17, 2017 – The second installment of Converse’s Forever Chuck Scenes highlights the Long Beach, CA recording artist.
","February 17, 2017",/news/vince-staples-on-la-culture-and-the-enduring-appeal-of-the-chuck-taylor
128,John McEnroe on Serena Williams,"January 28, 2017 – One game-changing tennis legend reflects on another’s unmatched play and legacy, following her history-making victory.","January 28, 2017",/news/john-mcenroe-on-serena-williams
129,Nike and Jordan Brand Celebrate Serena's #23 VICTORY,"January 28, 2017 – In celebration of Williams' history-making 23rd major title, NikeCourt and Jordan Brand present two color versions of the exclusive women's NikeCourt Flare. ","January 28, 2017",/news/jordan-brand-serena-williams
130,The NikeLab x UNDERCOVER SFB Jungle Dunk,"January 23, 2017 – UNDERCOVER designer Jun Takahashi collaborates with Nike on a new winter boot with ties to basketball, skateboarding and street culture.","January 23, 2017",/news/nikelab-undercover-sfb-jungle-dunk
131,Paris Saint-Germain Away Kit 2016-17,"July 26, 2016 – The Paris Saint-Germain away kit will be available July 27 at Nike.com and official Paris Saint-Germain retailers.","July 26, 2016",/news/paris-saint-germain-away-kit-2016-17
132,Watch Kevin Hart Warm-Up with Serena Williams,"July 12, 2016 – Hart taps Williams for some stretching tips.","July 12, 2016",/news/kevin-hart-serena-williams-stretching
133,22 and Counting,"July 09, 2016 – With her Saturday win, Williams has amassed a total of 22 Grand Slam singles titles, tying the record for the most ever in the Open era. ","July 09, 2016",/news/serena-williams-22-grand-slam
134,Year of the Windrunner: NikeLab x sacai,"December 09, 2015 – As part of Nike's ""Year of the Windrunner"" celebration, NikeLab partners with sacai to reimagine the apparel icon.","December 09, 2015",/news/year-of-the-windrunner-nikelab-x-sacai
135,NikeLab x sacai Fall/Holiday 2015 Collection,"November 03, 2015 – The NikeLab x sacai Fall/Holiday collection is built on a foundation of warm, plush fabrics: Nike Tech Fleece, knits and traditional materials such as wool and leather.","November 03, 2015",/news/nikelab-x-sacai-fall-holiday-2015-collection
136,Comemoração Platinada,"August 10, 2015 – Desejando ao Air Max 95 um feliz aniversário","August 10, 2015",/news/comemoracao-platinada
137,Already Platinum: The Air Max 95's 20th Anniversary Style,"August 10, 2015 – Commemorative jewelry inspires the final celebratory Air Max 95.","August 10, 2015",/news/already-platinum-wishing-the-air-max-95-a-happy-20th-anniversary
138,The Anatomy Of Air: The Artists Behind The X-ray,"July 15, 2015 – Renowned for their interpretations of human anatomy, illustrators Andy Van Dinh and Katie Scott contribute to the 20th anniversary celebration of the Nike Air Max 95.","July 15, 2015",/news/the-anatomy-of-air-the-artists-behind-the-x-ray
139,Nike convida dois artistas para ilustrar conceito anatômico do Air Max 95 ,"July 15, 2015 – Conhecidos por suas interpretações da anatomia humana, Andy Van Dinh e Katie Scott contribuem para o 20º aniversário do Air Max 95 com ilustrações do modelo. ","July 15, 2015",/news/nike-convida-dois-artistas-para-ilustrar-conceito-anatomico-do-air-max-95
140,"Com duas edições ainda mais inovadoras, Nike Air Max 95 comemora 20 anos","July 08, 2015 – Duas décadas depois de seu lançamento, modelo é atualizado em duas novas versões tão surpreendentes quanto a original. ","July 08, 2015",/news/com-duas-edicoes-ainda-mais-inovadoras-nike-air-max-95-comemora-20-anos
141,Anatomy Of Air: Two New Innovative Iterations Celebrate 20 Years of '95,"July 08, 2015 – To mark the twentieth anniversary of the Air Max 95, Nike celebrates with the release of two new models: The Air Max 95 Ultra Jacquard and the Women’s Air Max 95 Ultra. ","July 08, 2015",/news/anatomy-of-air-two-new-innovative-iterations-celebrate-20-years-of-95
142,NikeLab x sacai Summer Collection Blooms with Color and Movement ,"June 04, 2015 – Fluid Designs for a body in motion.","June 04, 2015",/news/nikelab-x-sacai-summer-collection-blooms-with-color-and-movement
143,Yué Wu on Air,"March 26, 2015 – Contributing to the Air Max Day festivities, Paris-based artist Yué Wu illustrates his passion for visible Nike Air.","March 26, 2015",/news/yue-wu-on-air
144,Odell Beckham Jr. on Air,"March 25, 2015 – New York wide receiver Odell Beckham Jr. catches the latest Air Max-inspired looks in Las Vegas with local style leader Valerie Julian.","March 25, 2015",/news/odell-beckham-jr-on-air
145,David Luiz e sua paixão por Air Max,"March 25, 2015 – Zagueiro fala sobre uma mania que cultiva fora de campo e do seu novo estilo de vida em Paris","March 25, 2015",/news/david-luiz-e-sua-paixao-por-air-max
146,David Luiz on Air,"March 25, 2015 – David Luiz tries on sneaker culture in Paris with local expert, Kevin Duong. ","March 25, 2015",/news/david-luiz-on-air
147,Aleksandr Kokorin on Air Featuring L’One,"March 24, 2015 – Football star Aleksandr Kokorin and rap artist L’One are connected by a love for sneakers, music and sport.","March 24, 2015",/news/aleksandr-kokorin-on-air-featuring-l-one
148,Shiho Nakamura on Air,"March 23, 2015 – Tokyo native Shiho Nakamura embodies an emerging women’s sneaker culture in Japan. ","March 23, 2015",/news/shiho-nakamura-on-air
149,Kyle Walker on Air,"March 23, 2015 – English footballer Kyle Walker defends on the pitch and scores as many pairs of Air Max sneakers as possible off it.","March 23, 2015",/news/kyle-walker-on-air
150,From Zero to 1: The Tale of the First Air Max,"March 20, 2015 – The oldest and newest member of the Air Max family.","March 20, 2015",/news/from-zero-to-1-the-tale-of-the-first-air-max
151,De Zero a 1: a história do primeiro Air Max,"March 20, 2015 – O mais velho e mais novo membro da família Air Max","March 20, 2015",/news/de-zero-a-1-a-historia-do-primeiro-air-max
152,Os ícones da família Air Max,"March 16, 2015 – Os nove modelos que marcaram a história do Air Max","March 16, 2015",/news/os-icones-da-familia-air-max
153,Masters of Max: The Air Max Icons,"March 16, 2015 – Nine Air Max silhouettes that stand above the rest. ","March 16, 2015",/news/masters-of-max-the-air-max-icons
154,NikeLab x sacai Brings a Feminine Edge to Sport Classics,"March 12, 2015 – New women's capsule collection redefines Nike icons","March 12, 2015",/news/nikelab-x-sacai
155,Um buquê de Air Max,"February 23, 2015 – Para comemorar o dia internacional da mulher, Nike lança a coleção Nike Air Max 1 Ultra City, que traz versões floridas do modelo","February 23, 2015",/news/um-buque-de-air-max
156,Bouquet of Max: The Nike Air Max 1 Ultra City Collection,"February 23, 2015 – The original Air Max shoe gets a floral facade to celebrate International Women's Day on March 8.","February 23, 2015",/news/bouquet-of-max-the-nike-air-max-1-ultra-city-collection
157,NikeLab x sacai: A Bold Expression of Sport and Style,"February 18, 2015 – Nike partners with fashion house sacai on an innovative collection that completely challenges the existing notion of sport style.","February 18, 2015",/news/nikelab-x-sacai-define-a-new-aesthetic
158,A Breath of Fresh Air: Air Max 1 Ultra Moire,"January 05, 2015 – Lighter and more comfortable, the Air Max 1 only gets better with age.","January 05, 2015",/news/a-breath-of-fresh-air-air-max-1-ultra-moire
159,Nike x UNDERCOVER Dunk Sky Hi Collection,"October 20, 2014 – The latest Dunk Sky Hi gives classic basketball design a new direction.","October 20, 2014",/news/nike-x-undercover-dunk-sky-hi-collection
160,Back to Football,"August 12, 2014 – The beautiful game is back and Nike has all the tools you need to kick-off the new season...","August 12, 2014",/news/back-to-football
161,Nike x Roundel By London Underground Air Max Collection,"December 02, 2013 – Jacquard technology fuses two urban icons for an Air Max collection synonymous with the city of London.","December 02, 2013",/news/nike-x-roundel-by-london-underground-air-max-collection
162,Air On The Moon: The Nike Air Max Lunar90,"December 01, 2013 – Air Max combines with Lunarlon technology to form the ultimate in lightweight comfort.","December 01, 2013",/news/air-on-the-moon-nike-air-max-lunar90
163,David Luiz Traz Ousadia Para Campanha Sejamax,"November 15, 2013 – Zagueiro da Seleção Brasileira superou negativas para brilhar.","November 15, 2013",/news/david-luiz-traz-ousadia-para-campanha-sejamax
164,Maria Clara e Carol Destacam Ipanema na Campanha Sejamax ,"November 12, 2013 – Estilo e força na areia e no calçadão carioca.","November 12, 2013",/news/maria-clara-e-carol-destacam-ipanema-na-campanha-sejamax
165,Scooby Relembra os Primeiros Drops na Campanha Sejamax,"November 10, 2013 – Sessões de foto e filmagem aconteceram na Praia do Recreio, no RJ.","November 10, 2013",/news/scooby-relembra-os-primeiros-drops-na-campanha-sejamax
166,Nike lança Coleção Air Max Camo na Cartel 011,"October 30, 2013 – Estampas criadas para camuflar declaram ousadia nas ruas.","October 30, 2013",/news/nike-lanca-colecao-air-max-camo-na-cartel-011
167,The Nike x Liberty Collection,"October 28, 2013 – Nike and Liberty London come together to release a paisley covered collection for fall.","October 28, 2013",/news/the-nike-x-liberty-collection
168,"The Nike Air Max Reflect Collection: One Shoe, Both Sides of The Spectrum","October 25, 2013 – Transition from neutral to radiant with reflective features.","October 25, 2013",/news/the-nike-air-max-reflect-collection-one-shoe-both-sides-of-the-spectrum
169,Visible Air Just Got More Visible: The Nike Air Max Glow Collection,"October 02, 2013 – Transition from day to night with glow-in-the-dark features.","October 02, 2013",/news/visible-air-just-got-more-visible-the-nike-air-max-glow-collection
170,Celestial Sneakers: The Nike Air Max Thea Woven,"August 22, 2013 – A new Air Max Goddess takes to the streets.","August 22, 2013",/news/celestial-sneakers-the-nike-air-max-thea-woven
171,Nike Air Max 1 VT: Aging has Never Looked so Good,"June 24, 2013 – An Air Max 1 that gets better with time.","June 24, 2013",/news/nike-air-max-1-vt-aging-has-never-looked-so-good
172,Nike PHOTOiD: The Power of an Image Takes on New Meaning,"April 17, 2013 – Powered by NIKEiD for Instagram, a unique HTML5 app takes the Nike Air Max to a new level of self-expression. ","April 17, 2013",/news/nike-photoid-the-power-of-an-image-takes-on-new-meaning
173,Tom Sachs SPACE PROGRAM: MARS,"May 17, 2012 – The four week mission to Mars repurposes 55,000 square feet of the Wade Thompson Drill Hall at the Park Avenue Armory, New York with an installation of dynamic and meticulously crafted sculptures.","May 17, 2012",/news/tom-sachs-space-program-mars
174,Nike and Tom Sachs present Tom Sachs: NIKECraft,"May 10, 2012 – Born from the dynamic between Tom Sachs' D.I.Y. aesthetic and the wide reaching Nike brand, comes an artisanal capsule collection, NIKECraft.","May 10, 2012",/news/nike-and-tom-sachs-present-tom-sachs-nikecraft
175,NIKE x UNDERCOVER presents “Running Monks”,"November 15, 2011 – The Gyakusou International Running Association visits Kyoto.","November 15, 2011",/news/nike-x-undercover-presents-%E2%80%9Crunning-monks%E2%80%9D
